date,price,portfolio_value,long_shares,short_shares,long_position,short_position,cash,long_action,short_action,returns,benchmark_portfolio_value,benchmark_long_shares,benchmark_short_shares,benchmark_long_position,benchmark_short_position,benchmark_cash,benchmark_returns
2015-12-29,0.82163423,2000000.0,1217086.581642665,0.0,1000000.0,0.0,1000000.0,1.0,0.0,0.0,2000000.0000000002,2434173.16328533,0.0,2000000.0000000002,0.0,0.0,0.0
2015-12-30,0.82163423,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,-0.000625,2000000.0000000002,2434173.16328533,0.0,2000000.0000000002,0.0,0.0,0.0
2015-12-31,0.8145594,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1982778.631580513,2434173.16328533,0.0,1982778.631580513,0.0,0.0,-0.008610684424638748
2016-01-04,0.80406976,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1957245.0250222438,2434173.16328533,0.0,1957245.0250222438,0.0,0.0,-0.012877688743174076
2016-01-05,0.78967637,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1922209.0232420138,2434173.16328533,0.0,1922209.0232420138,0.0,0.0,-0.017900671809911728
2016-01-06,0.8023619,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1953087.8177926526,2434173.16328533,0.0,1953087.8177926526,0.0,0.0,0.016064222902059555
2016-01-07,0.7691842,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1872327.469479827,2434173.16328533,0.0,1872327.469479827,0.0,0.0,-0.04135008528828621
2016-01-08,0.7386899,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1798099.1292179357,2434173.16328533,0.0,1798099.1292179357,0.0,0.0,-0.03964495658874512
2016-01-11,0.7228332,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1759501.2163817442,2434173.16328533,0.0,1759501.2163817442,0.0,0.0,-0.021465953439474106
2016-01-12,0.72405297,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1762470.2977605301,2434173.16328533,0.0,1762470.2977605301,0.0,0.0,0.001687456271611154
